threadId=0	segmentId=0	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Schiebermütze. kann ich nicht bewerten da zu groß !#nexlpEOL#!
threadId=30	segmentId=30	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Für mich nicht's. Es passt ja ,aber ich sehe da durch noch fetter aus als ich bin,daher würde ich es mir nicht mehr kaufen. Schade um das Geld !#nexlpEOL#!
threadId=31	segmentId=31	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Unvollständig. Ich hatte nur ein t-shirt bekommen obwohl es ein doppelpack ist. Gibt es eine Möglichkeit ein weiteres nachzusenden oder meines umzutauschen? !#nexlpEOL#!
threadId=32	segmentId=32	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Leider. Leider nicht zufrieden , Dose kaputt, da es ein Geschenk ist kann ich es nicht mehr zurück schicken. !#nexlpEOL#!
threadId=33	segmentId=33	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Loch nach kurzem tragen!. Nach viermaligem tragen der Socken hatte eine Socke schon ein Loch am großen Fußzeh. !#nexlpEOL#!
threadId=34	segmentId=34	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Hübsch, aber nicht zweckgemäß. Es passt kaum in den port und ist nach gebrauch verkratzt. Ob die medien drauf bleiben, weiß ich nicht. Wollte es verschenken. Muss ich mir aber noch gut überlegen.... !#nexlpEOL#!
threadId=35	segmentId=35	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Verkäufer meldet sich nicht. Trage eine S und wollte eine etwas lockere sitzende Hose, bestellt in M und die bekomme ich kaum über die Hüfte. !#nexlpEOL#!
threadId=36	segmentId=36	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Unangenehmes Material.. Unangenehmes Material. Unmöglich dieses Shirt zu tragen! Nach wenigen Minuten ist man vollgeschwitzt. Für mich nur zur Deko im Kleiderschrank verwendbar! !#nexlpEOL#!
threadId=37	segmentId=37	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Nicht empfehlenswert. Das Kleid ist sehr eng geschnitten. Habe es zurück geschickt (Rücksendung muss man selbst bezahlen) und bis heute mein Geld nicht erhalten!! !#nexlpEOL#!
threadId=38	segmentId=38	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Passen, aber halten nicht lange. Die Passform ist wirklich gut, aber sind recht dünn und halten dementsprechend nicht sehr lange. !#nexlpEOL#!
threadId=39	segmentId=39	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Na ja. Leider gehen nach dem 5mal tragen schon die Nächte auf !#nexlpEOL#!
threadId=40	segmentId=40	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Schöne Bänder, aber.... Die Bänder sind sehr schön geflochten, aber viel zu steif, deshalb stehen sie bei der Seite vom Kopf ab und hängen bei der Brille nicht hinunter. Das sieht sehr komisch aus und ist im Büro nicht zu tragen, vielleicht stört es den einen oder anderen beim Sport weniger. !#nexlpEOL#!
threadId=41	segmentId=41	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Zu klein. Qualität in Ordnung jedoch viel zu klein !#nexlpEOL#!
threadId=42	segmentId=42	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Eher für Kinder geeignet. Fällt klein aus. Sehr hübsch aber das Hösschen passt nicht und quetscht alles ein. !#nexlpEOL#!
threadId=43	segmentId=43	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Stoff ist nicht atmungsaktiv. Sehr schlechter Sitz und wird sehr warm in der Sonne !#nexlpEOL#!
threadId=44	segmentId=44	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Ist das Geld nicht wert. Wirk im Internet heller als in echt. Qualität lässt auch zu wünschen übrig. Im Handschuh ist ein kleines Loch. Leider kann man den Verkäufer nicht kontaktieren. Mütze könnte etwas kleiner sein. Werde es trotzdem behalten. Da ich diese Farbe sonst nirgendwo gefunden habe. Eine Gutschrift würde mir schon reichen. !#nexlpEOL#!
threadId=45	segmentId=45	!@#NEXLP_DOCVECTOR_SEPARATOR#@!würde die Jacke nicht noch mal kaufen. an und für sich ist die Jacke super warm aber sie fusselt extrem und beim Kragen geh'n die Knöpfe immer auf was nicht so gut ist..bei dem Preis !#nexlpEOL#!
threadId=46	segmentId=46	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Nicht wie auf dem Bild. Sieht auf dem Bild viel hochwertiger und fester aus. Sehr dünner Stoff. Zu kurz und viel zu klein. Habe gr. M bestellt und würde es eher einer XS empfehlen. Bin enttäuscht !#nexlpEOL#!
threadId=47	segmentId=47	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Zu klein. Nicht wie erwartet, weder optisch noch von der Größe. Passe nicht rein und trage eine S. !#nexlpEOL#!
threadId=48	segmentId=48	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Beschichtung der Schnalle löst sich nach 6 Monaten. An für sich ist der Gürtel gut und erfüllt seine Aufgabe, jedoch ist das Material bzw. die Beschichtung der Schnalle schlecht und löste sich bereits nach ca. 6 Monaten. Bei einem Gürtel für diesen Preis definitiv nicht wünschenswert. Eine Möglichkeit der Reklamation hier bei Amazon habe ich noch nicht gefunden. Sobald ich den richtigen Button bei Amazon finde, reklamiere ich den Artikel. !#nexlpEOL#!
threadId=49	segmentId=49	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Schön aber defekt. Schönes Kleid jedoch mit Loch angekommen. Geht also zurück. Die Farben und die Passform ist super. Die Qualität des Stoffes ist nicht so toll jedoch bei dem Preis verständlich !#nexlpEOL#!
threadId=50	segmentId=50	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Seltsames Konstrukt. Sieht nicht aus wie auf dem Foto. Das Teil ist am Hals viel zu kurz und eng, und ich habe *keinen* dicken Hals. !#nexlpEOL#!
threadId=51	segmentId=51	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Zweimal bestellt, zweimal falsche Größe erhalten. Der Badeanzug ist eigentlich sehr hübsch und von guter Qualität.......aber ich habe in 2 mal bestellt, zweimal die falsche Größe erhalten. Der Verkäufer reagiert nicht auf Anfragen. !#nexlpEOL#!
threadId=52	segmentId=52	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Viel zu klein. Viel zu klein und auch total schlechtet Sitz !#nexlpEOL#!
threadId=53	segmentId=53	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Na ja. Das Material fühlt sich ganz und gar nicht nach Seide an. Ganz normales Baumwolltuch. Bin für den Preis sowohl von der Qualität als auch der größe des Tuches (ist viel kleiner als es auf den Fotos wirkt) enttäuscht. Werde von dieser Marke kein Tuch mehr kaufen. Da habe ich schönere und günstigere aus Fernost. !#nexlpEOL#!
threadId=54	segmentId=54	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Günstig ist nicht immer gut. Keine guter Stoff, man zieht es nicht gern an. Sehr dünne Strümpfe. Wir haben lediglich ein paar mal probiert und es dann gleich gelassen. Farben super. Günstiger Preis für 5 Paare !#nexlpEOL#!
threadId=55	segmentId=55	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Viel zu groß. Produkt sollte für ein Neugeborenes sein kam in Größe 74 .. Qualität nicht besonders gut aber von dem Preis auch nicht zu erwarten !#nexlpEOL#!
threadId=56	segmentId=56	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Hält nur 1 mal. Leider nur einmal nutzbar, danach klebt der BH nicht mehr. Schade !#nexlpEOL#!
threadId=57	segmentId=57	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Gibt überhaupt keinen Halt. Ich kann Max 2 Sterne geben. Die Spitze sieht gut aus, aber das Teil gibt 0 halt! Schade denn sonst isser hübsch. Erfüllt aber seinen Zweck überhaupt nicht! !#nexlpEOL#!
threadId=58	segmentId=58	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Passt, aber leider nicht gut verarbeitet. Der Bh passt so wie erwartet, auch bei sehr großen Brüsten. Allerdings verrutschen die Kissen in den Körbchen nach dem Waschen und man hat keine Möglichkeit das irgendwie zu richten. Außerdem reibt nach längerem Tragen die Naht bei Schulterblättern und Achseln die Haut auf. Hätte ich nicht leider einen Fleck drauf gemacht beim auspacken, wäre der BH wieder zurück gegangen... !#nexlpEOL#!
threadId=59	segmentId=59	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Eigentlich hätten sie mir super gefallen.... es waren viele verschiedene dabei, doch leider ist die Material Qualität nicht gut. Ein Höschen hatte sofort ein Loch wo der Stoff komplett nachgab nur durchs anziehen. !#nexlpEOL#!
threadId=60	segmentId=60	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Nicht schön. Kein schöner Schnitt, oben zu kurz geschnitten, sieht aus als ob man schwanger sei. !#nexlpEOL#!
threadId=61	segmentId=61	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Falsche Artikelbeschreibung. Hier ist spürbar nichts atmungsaktiv, und wenn, dann im kleinstmöglichen Bereich, der noch messbar, aber für praktischen Nutzen vollkommen irrelevant ist. Es sind Belüftungslöcher vorhanden, was ebenfalls nicht Atmungsaktivität bedeutet, auch wenn es besser als Nichts ist. Die Nähte sind keinesfalls versiegelt, sondern nur doppelt genäht und halten trotzdem schon beim ersten Verstauen in der Innentasche nicht. Die Jacke ist leicht, und die Jacke ist wasserdicht. Das sind andere mit diesen Eigenschaften auch. Eine günstige, atmungsaktive Markenjacke dürfte bei der Haltbarkeit schon nach wenigen Jahren definitiv billiger sein. !#nexlpEOL#!
threadId=62	segmentId=62	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Schlechte Qualität. Nähte nicht sauber. Schleckte Qualitäten !#nexlpEOL#!
threadId=63	segmentId=63	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Leider nicht so toll wie erwartet. Leider etwas formlos, rutschen am Fuß. Haltbarkeit im Fersenbereich sehr kurzlebig. !#nexlpEOL#!
threadId=64	segmentId=64	!@#NEXLP_DOCVECTOR_SEPARATOR#@!furchtbarer Geruch. als die drei Paar bei mir ankamen, kam mir schon beim Öffnen ein furchtbar chemischer Geruch entgegen. Hinzu kommt, dass ich sie ja verwenden möchte, wenn es heiß ist, damit es nicht zwischen den Oberschenkeln reibt, jedoch wird das Tragegefühl bei Hitze nur noch unangenehmer wegen des Gummis, der die Bänder am Bein fixieren soll. Gingen zurück. !#nexlpEOL#!
threadId=65	segmentId=65	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Bild viel schöner als das Original. Kein schöner Stoff, fällt leider nicht schön und sieht nicht sehr wertig aus - klar, hätte ich mir bei denn preis denken können. Schade! !#nexlpEOL#!
threadId=66	segmentId=66	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Emre. 2 Sterne weil das Shirt mit einem Fleck kam ich bestelle öfters diese t Shirts aber das geht garnicht wenn man ein neu verpacktes t Shirt erwartet und da ein Fleck ist hoffe mal der geht beim waschen raus !#nexlpEOL#!
threadId=67	segmentId=67	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Schade. Leider sind die Fäden beim waschen aufgegangen !#nexlpEOL#!
threadId=68	segmentId=68	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Geht so. Jacke fällt an den Armen kurz aus obwohl ich vorsorglich eine Nummer größer bestellt habe. Preis/Leistung geht so für den Preis darf man nicht viel erwarten. Jacke ist aus sweatstoff für kalte Herbst Tage zu dünn. Schade. !#nexlpEOL#!
threadId=69	segmentId=69	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Was bequemes für Privat.. Durschnitt nichts besonderes, war aber für den Preis zu erwarten, für Haus oder zum Sport ok. Aber der chic fehlt einfach verarbeitet. !#nexlpEOL#!
threadId=70	segmentId=70	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Leider fehlen Pailetten. Ein an sich wirklich schönes Kleid. Leider fehlten bei meiner Lieferung auf einer Seite der oberen Häfte die gesamten ! Pailetten! Produkt geht darum natürlich zurück. !#nexlpEOL#!
threadId=71	segmentId=71	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Entspricht leider in keinster weise den angezeigten Bildern. Keiner der gelieferten Tangas entspricht den Bildern, einer war zu groß und im allgemeinen fallen die Tangas zu groß aus, sie sind zwar günstig und nicht schlecht verarbeitet, aber wenn man 36/38 drauf schreibt, sollte das auch drin sein.... für mich als 36 sind sie doch eine nummer zu groß und fallen somit eher als 38 aus, einer davon war 40/42, ist aber doch genauso ausgefallen wie die anderen..... von mir eher keine empfehlung !#nexlpEOL#!
threadId=72	segmentId=72	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Für Babys die sich nicht bewegen. Wir können damit wenig anfangen, denn sie bleiben nicht dort wo sie sollen. Rutschen andauernd während dem krabbeln hinunter bis zum Knöchel. Bleiben weder auf der Hose noch ohne Hose bei den Knien. Wenn sich ein Baby nicht viel bewegt kann man es ja machen, aber sonst eher nicht zu empfehlen. Vielleicht sind sie auch für dickere Babys gedacht, bei meinem klappt es jedenfalls nicht. !#nexlpEOL#!
threadId=73	segmentId=73	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Schöner Jumpsuit mit Qualitätsmängeln. Schöner Jumpsuit, aber leider nach dem ersten Tragen schon der Träger abgerissen. Qualität ist nicht so überragend, Nähte ebenfalls nicht. !#nexlpEOL#!
threadId=74	segmentId=74	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Naja. Nach ein paar mal waschen kaum noch zu tragen. Stoff wird immer dünner ,zudem schneiden die Bünde in die Oberschenkel. Selbst für den Preis nicht dauerhaft zu empfehlen. !#nexlpEOL#!
threadId=75	segmentId=75	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Yeah super schön. Für den Preis kann man echt nichts sagen. Sieht super aus fühlt sich sehr leicht an. Und es es ist für den Sommer echt ideal !#nexlpEOL#!
threadId=76	segmentId=76	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Gut. Produkt wie beschrieben !#nexlpEOL#!
threadId=77	segmentId=77	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Echt gut verarbeitet.. Preis Leistung stimmt! !#nexlpEOL#!
threadId=78	segmentId=78	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Zufrieden, angenehmer Stoff. Habe die Bodies für eine Babyparty zum Bemalen gekauft. Hat gut funktioniert. Da sie ein Geschenk waren, kann ich leider nichts zum Tragen des Bodies sagen. !#nexlpEOL#!
threadId=79	segmentId=79	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Super Kragen. Der Kragen ist gut verarbeitet,er ist aus robusten Jeansstoff und mit den Gummibändern toll einzustellen,nichts kann verrutschen. So einen Kragen würde ich wieder kaufen. !#nexlpEOL#!
threadId=80	segmentId=80	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Gute Passform. Die Passform ist wie erwartet. Das Oberteil lässt sich variabel verstellen, das Höschen leider nicht. Die Cups sind wattiert. Die Verarbeitung (Naht) könnte etwas besser sein, ist aber für diesen Preis kaum zu verlangen. !#nexlpEOL#!
threadId=81	segmentId=81	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Super für kleines Geld. Sieht klasse aus, sitzt gut und schützt vor der Sonne 👍 einen Stern habe ich abgezogen, weil es natürlich nicht die beste Qualität ist, aber für den Preis wirklich mehr als erwartet! Ich würde sie absolut empfehlen !#nexlpEOL#!
threadId=82	segmentId=82	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Sehr schöne Fitness/Freizeithose. Die Hose ist sehr schön, der Stoff ist angenehm zu tragen. Fällt aber sehr klein aus. Mein Tipp, 1-2 Nummern größer bestellen. !#nexlpEOL#!
threadId=83	segmentId=83	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Super süß aber der Body etwas klein. Der Body fällt etwas klein aus für 1-jährige Kinder. Zu pummelige Babies würden sicher nicht in den Body passen. Das Material fühlt sich jedoch gut an, wie es bei Baumwolle gewohnt ist. Der Rock ist etwas steif was aber nicht weiter schlimm ist. Das Haarband mit dem Schleifchen ist auch ganz süß. Alles in allem ists ein schönes set und gut für den ersten Geburtstag. !#nexlpEOL#!
threadId=84	segmentId=84	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Eng an den Schienbeinen. Trägt sich angenehm, nur druckt etwa an den Knöchel, obwohl ich schmale Beine habe (Größe: M gekauft) !#nexlpEOL#!
threadId=85	segmentId=85	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Schöner Pulli. Ich hatte mir diesen ultra großen kuschel Pulli bestellt, weil ich gerade für zuhause einen kuschel Pulli für die kalten Tage haben wollte. Jedoch als dieser bei mir an kam sah ich das er zwar sehr weich ist und auch wunderbar gross..genau richtig zum einkuscheln, jedoch etwas dünn. Da er dünn vom Stoff ist muss man ein Träger Top im Winter drunter ziehen. Ich habe ihn meiner Tochter geschenkt die sich riesig freute. Gewaschen behält er einwandfrei seine Farbe... !#nexlpEOL#!
threadId=86	segmentId=86	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Super Service. Tolle Farben, jedoch vom Stoff her etwas härter. !#nexlpEOL#!
threadId=87	segmentId=87	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Super Hose!!. Wunderbare Hose, habe mir direkt eine zweite bestellt !#nexlpEOL#!
threadId=88	segmentId=88	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Sehr schön, leider etwas durchsichtig. Ein sehr schöner luftiger Jumpsuit, leider etwas durchsichtig. Der Jumpsuit war innerhalb weniger Tage hier. Noch schöner als auf den Bildern. !#nexlpEOL#!
threadId=89	segmentId=89	!@#NEXLP_DOCVECTOR_SEPARATOR#@!80% zufrieden. Ich mag einen sehr weichen Pullover. Dieser Pullover ist 80% weich.. Material gut, Reißverschluss ist Metall und schwer. Das allgemeine Gefühl ist 50% Wolle weich !#nexlpEOL#!
threadId=90	segmentId=90	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Weihnachtsmarkt Pullover. Alles Top uns sehr reibungsloses bestellen. Artikel fällt sehr groß aus, obwohl S bestellt wurde. Versand innerhalb von 4 Tagen. Material ist angenehm. !#nexlpEOL#!
threadId=91	segmentId=91	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Sehr schönes Kleid !!!. An sich ein super Kleid nur leider 10cm zu kurz, ich ziehe eine kurze kose drunter dann passt es super ! Würde es wieder bestellen sieht aus wie auf dem Bild. Ich habe Größe 36 und in der M bestellt. Tragekomfort ist spitze !#nexlpEOL#!
threadId=92	segmentId=92	!@#NEXLP_DOCVECTOR_SEPARATOR#@!sehr gute Qualität !. Sehr gute Qualität - ist zu empfehlen !#nexlpEOL#!
threadId=93	segmentId=93	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Bin zufrieden. Passt wie erwartet, Lieferung wie erwartet !#nexlpEOL#!
threadId=94	segmentId=94	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Zufrieden.. Schöner Onesie., gute Qualität., fällt recht groß aus. !#nexlpEOL#!
threadId=95	segmentId=95	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Preis Leistung stimmt. Sehr gute Qualität,sieht toll aus und passt genau !#nexlpEOL#!
threadId=96	segmentId=96	!@#NEXLP_DOCVECTOR_SEPARATOR#@!cooler Schlafanzug. Die Optik und der Schnitt des Schlafanzuges sind gut, meinem 13jährigen Sohn hat er sehr gefallen.Ich finde den Stoff (Polyester/Chemiefaser) nicht so optimal, Baumwolle wäre mir lieber, daher nur 4 Punkte. Insgesamt ist der Anzug aber empfehlenswert. !#nexlpEOL#!
threadId=97	segmentId=97	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Süße Höschen. Süße Höschen. Passen und machen was sie sollen. Sind vllt jetzt net von der höchsten Qualität aber ich bin voll zufrieden und halten tun sie jetzt schon n gutes Weilchen ohne Beschwerden. !#nexlpEOL#!
threadId=98	segmentId=98	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Top. Habe das 12er Paket bestellt. Kommen in einer schönen Verpackung und die Qualität ist super. Leider sind sie ein wenig eng im Schritt. Aber da kann ich drüber hinweg sehen. Aber deshalb nur 4 Sterne !#nexlpEOL#!
